Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,62363527,7988.860514040975,3874604,496892,1456687,186.60377011096253,69444,7697,
United States of America,Americas,13082877,39524.99,1110321,143211,263946,797.41,10015,1210,Community transmission
India,South-East Asia,9431691,6834.54,291826,38772,137139,99.38,3401,443,Clusters of cases
Brazil,Americas,6290272,29593.01,237486,51922,172561,811.82,3572,587,Community transmission
Russian Federation,Europe,2295654,15730.72,181152,26338,39895,273.38,3355,368,Clusters of cases
France,Europe,2179481,33389.98,76971,9670,51965,796.11,3581,198,Community transmission
Spain,Europe,1628208,34824.42,35768,0,44668,955.37,756,0,Community transmission
The United Kingdom,Europe,1617331,23824.22,105282,12155,58245,857.98,3494,215,Community transmission
Italy,Europe,1585178,26217.83,176310,20646,54904,908.08,5081,541,Clusters of cases
Argentina,Americas,1413375,31272.28,47193,6098,38322,847.91,1320,106,Community transmission
Colombia,Americas,1299613,25541.26,59120,9103,36401,715.39,1297,187,Community transmission
Mexico,Americas,1100683,8536.88,67995,10008,105459,817.94,4086,586,Community transmission
Germany,Europe,1053869,12578.41,124736,11169,16248,193.93,2136,125,Clusters of cases
Poland,Europe,985075,26028.09,123744,11482,17029,449.95,3411,283,Community transmission
Peru,Americas,960368,29126.9,12287,2044,35879,1088.17,330,40,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,948749,11295.58,94388,12950,47875,569.99,3073,389,Community transmission
South Africa,Africa,787702,13281.39,20023,2563,21477,362.12,574,38,Community transmission
Ukraine,Europe,732625,16751.93,96936,9946,12327,281.86,1252,114,Community transmission
Belgium,Europe,576503,49743.03,14863,4,16547,1427.74,683,11,Community transmission
Iraq,Eastern Mediterranean,550435,13684.76,15114,1614,12224,303.91,266,24,Community transmission
Chile,Americas,550430,28793.9,9790,1489,15356,803.3,287,34,Community transmission
Indonesia,South-East Asia,534266,1953.27,36598,6267,16815,61.48,931,169,Community transmission
Czechia,Europe,519723,48531.51,27460,1074,8138,759.92,942,84,Community transmission
Netherlands,Europe,518273,30246.68,34213,5578,9336,544.85,457,23,Community transmission
Turkey,Europe,494351,5861.47,47529,6439,13558,160.76,1200,185,Community transmission
Romania,Europe,471536,24511.05,52891,5554,11193,581.83,1146,148,Community transmission
Bangladesh,South-East Asia,462407,2807.75,15066,1788,6609,40.13,221,29,Community transmission
Philippines,Western Pacific,429864,3922.79,11046,2067,8373,76.41,250,40,Community transmission
Pakistan,Eastern Mediterranean,395185,1789.04,21012,2829,7985,36.15,323,43,Clusters of cases
Canada,Americas,364810,9665.85,39099,5746,11976,317.31,570,82,Community transmission
